Date,Heure,Latitude,Longitude,Vitesse,Altitude,Frequence cardiaque,Nombre de pas
11:12:2022,15:28:19,50.618068,4.643743,0.83,,71,0
11:12:2022,15:28:20,50.618068,4.643746,0.83,136.7,65,2
11:12:2022,15:28:20,50.618068,4.643746,0.83,136.7,83,1
11:12:2022,15:28:20,50.618068,4.643746,0.83,136.7,88,2
11:12:2022,15:28:20,50.618068,4.643746,0.96,136.7,83,1
11:12:2022,15:28:20,50.618068,4.643746,0.96,136.7,60,1
11:12:2022,15:28:20,50.618068,4.643746,0.96,136.7,75,3
11:12:2022,15:28:50,50.618133,4.643743,0.96,136.4,75,1
11:12:2022,15:28:50,50.618133,4.643743,0.96,136.4,78,2
11:12:2022,15:28:50,50.618133,4.643743,0.96,136.4,75,1
11:12:2022,15:28:50,50.618133,4.643743,2.11,136.4,75,1
11:12:2022,15:28:50,50.618133,4.643743,2.11,136.4,None,2
11:12:2022,15:28:51,50.618133,4.64375,2.11,136.5,None,1
11:12:2022,15:28:51,50.618133,4.64375,2.11,136.5,None,1
11:12:2022,15:28:51,50.618133,4.64375,2.11,136.5,None,2
11:12:2022,15:28:51,50.618133,4.64375,1.96,136.5,None,0
11:12:2022,15:28:51,50.618133,4.64375,1.96,136.5,None,1
11:12:2022,15:28:52,50.618135,4.643756,1.96,136.5,None,3
11:12:2022,15:28:52,50.618135,4.643756,1.96,136.5,None,1
11:12:2022,15:28:52,50.618135,4.643756,1.96,136.5,None,1
11:12:2022,15:28:52,50.618135,4.643756,1.85,136.5,None,None
11:12:2022,15:28:52,50.618135,4.643756,1.85,136.5,None,None
11:12:2022,15:28:53,50.618136,4.643761,1.85,136.5,None,None
11:12:2022,15:28:53,50.618136,4.643761,1.85,136.5,None,None
11:12:2022,15:28:53,50.618136,4.643761,1.85,136.5,None,None
11:12:2022,15:28:53,50.618136,4.643761,1.59,136.5,None,None
11:12:2022,15:28:53,50.618136,4.643761,1.59,136.5,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.59,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.37,136.6,None,None
11:12:2022,15:28:54,50.618133,4.64377,1.37,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.37,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.37,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.37,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.04,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.04,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.04,136.6,None,None
11:12:2022,15:28:55,50.618133,4.643771,1.04,136.6,None,None
11:12:2022,15:29:25,50.618181,4.643696,1.04,140.5,None,None
11:12:2022,15:29:25,50.618181,4.643696,1.04,140.5,None,None
11:12:2022,15:29:25,50.618181,4.643696,1.04,140.5,None,None
11:12:2022,15:29:25,50.618181,4.643696,1.13,140.5,None,None
11:12:2022,15:29:25,50.618181,4.643696,1.13,140.5,None,None
11:12:2022,15:29:26,50.61818,4.64369,1.13,140.9,None,None
11:12:2022,15:29:26,50.61818,4.64369,1.13,140.9,None,None
11:12:2022,15:29:26,50.61818,4.64369,1.13,140.9,None,None
11:12:2022,15:29:26,50.61818,4.64369,1.63,140.9,None,None
11:12:2022,15:29:26,50.61818,4.64369,1.63,140.9,None,None
11:12:2022,15:29:27,50.618168,4.643688,1.63,141.3,None,None
11:12:2022,15:29:27,50.618168,4.643688,1.63,141.3,None,None
11:12:2022,15:29:27,50.618168,4.643688,1.63,141.3,None,None
11:12:2022,15:29:27,50.618168,4.643688,1.72,141.3,None,None
11:12:2022,15:29:27,50.618168,4.643688,1.72,141.3,None,None
11:12:2022,15:29:28,50.61817,4.643688,1.72,141.7,None,None
